Mercury,0.466697,0.307499,0.240846,3.38,2439.7,58.6462,180,180,180,2.11,0,
Venus,0.72823128,0.71843270,0.615197,3,86,051.8,-243.0187,200,200,180,177.3,0,
Earth,1.01671383,0.98329134,1.000017421,7.155,6371,0.99726968,0,0,255,23.43928,1
Mars,1.665861,1.381497,1.8808,5.65,3396.2,1.02595675,200,0,0,25.19,2,
Jupiter,5.458104,4.950429,11.8592,6.09,69173,0.41007,180,100,0,3.13,63,
Saturn,10.11595804,9.04807635,29.4571,5.51,57316,0.426,150,150,0,26.73,62,
Uranus,20.08330526,18.37551863,84.323326,6.48,25263,-0.718.33, 0,200,200,97.77,27,
Neptune,30.44125206,29.76607095,164.79,6.43,24552.5,0.6713,0,200,200,28.32,13,
